sensor_id,timestamp,temperature,humidity,location,sensor_type
1078,2025-04-10T16:55:12.000Z,25.63,62.86,BuildingB_Floor1,TypeB
1064,2025-04-08T05:13:35.000Z,25.26,61.4,BuildingB_Floor2,TypeB
1067,2025-04-09T22:34:42.000Z,28.42,35.43,BuildingA_Floor1,TypeC
1047,2025-04-09T09:40:09.000Z,33.7,40.99,BuildingB_Floor1,TypeC
1076,2025-04-11T16:53:31.000Z,23.07,76.29,BuildingB_Floor1,TypeA
1092,2025-04-09T03:41:33.000Z,34.98,53.37,BuildingB_Floor1,TypeB
1079,2025-04-07T16:55:11.000Z,24.78,36.42,BuildingA_Floor2,TypeA
1068,2025-04-09T18:03:09.000Z,19.11,40.24,BuildingB_Floor1,TypeB
1037,2025-04-10T16:08:06.000Z,30.79,40.21,BuildingA_Floor1,TypeB
1088,2025-04-09T08:57:08.000Z,17.01,31.21,BuildingB_Floor2,TypeB
1062,2025-04-10T06:43:18.000Z,20.84,78.02,BuildingA_Floor2,TypeC
1019,2025-04-10T03:49:30.000Z,24.7,75.48,BuildingB_Floor1,TypeC
1014,2025-04-09T19:19:35.000Z,24.51,35.05,BuildingB_Floor2,TypeB
1024,2025-04-08T00:11:18.000Z,28.23,62.79,BuildingB_Floor2,TypeC
1031,2025-04-10T08:56:52.000Z,26.08,40.76,BuildingB_Floor2,TypeC
1005,2025-04-09T19:35:48.000Z,23.06,34.02,BuildingB_Floor2,TypeA
1083,2025-04-07T02:35:22.000Z,25.19,72.53,BuildingA_Floor1,TypeC
1017,2025-04-07T16:21:28.000Z,25.23,43.23,BuildingA_Floor1,TypeA
1025,2025-04-08T13:38:23.000Z,17.91,45.3,BuildingB_Floor1,TypeB
1005,2025-04-09T09:52:42.000Z,24.71,73.37,BuildingB_Floor1,TypeA
1056,2025-04-07T14:13:42.000Z,29.62,54.18,BuildingB_Floor2,TypeC
1017,2025-04-11T19:38:52.000Z,20.54,49.25,BuildingA_Floor1,TypeC
1065,2025-04-08T19:45:53.000Z,16.42,43.72,BuildingA_Floor1,TypeC
1003,2025-04-08T12:12:05.000Z,28.14,39.56,BuildingB_Floor2,TypeC
1036,2025-04-08T15:44:54.000Z,33.75,37.89,BuildingB_Floor2,TypeA
1033,2025-04-10T00:09:26.000Z,25.0,62.69,BuildingA_Floor1,TypeA
1065,2025-04-07T17:48:33.000Z,16.33,31.75,BuildingA_Floor1,TypeB
1093,2025-04-09T18:50:48.000Z,32.78,53.28,BuildingA_Floor2,TypeB
1042,2025-04-11T16:04:06.000Z,17.3,57.78,BuildingB_Floor1,TypeB
1020,2025-04-08T17:15:59.000Z,15.28,43.21,BuildingB_Floor1,TypeC
1030,2025-04-08T16:08:26.000Z,17.9,36.06,BuildingB_Floor2,TypeC
1084,2025-04-09T02:04:50.000Z,15.25,66.54,BuildingB_Floor1,TypeB
1066,2025-04-12T00:33:49.000Z,30.56,70.27,BuildingA_Floor2,TypeA
1041,2025-04-08T18:57:12.000Z,31.42,73.34,BuildingB_Floor1,TypeA
1018,2025-04-07T22:53:42.000Z,22.39,39.05,BuildingA_Floor1,TypeB
1000,2025-04-10T22:53:05.000Z,18.08,58.6,BuildingB_Floor2,TypeA
1014,2025-04-07T21:35:16.000Z,30.16,32.87,BuildingA_Floor2,TypeC
1000,2025-04-08T06:12:19.000Z,17.68,55.74,BuildingA_Floor1,TypeB
1050,2025-04-09T10:38:58.000Z,23.44,70.18,BuildingB_Floor2,TypeC
1051,2025-04-09T18:49:14.000Z,30.0,56.21,BuildingA_Floor1,TypeA
1026,2025-04-10T09:30:49.000Z,32.17,31.24,BuildingB_Floor2,TypeC
1086,2025-04-09T01:23:02.000Z,26.33,71.78,BuildingB_Floor2,TypeC
1028,2025-04-08T15:38:58.000Z,29.44,73.69,BuildingA_Floor2,TypeA
1100,2025-04-11T18:53:59.000Z,29.34,39.2,BuildingB_Floor2,TypeC
1052,2025-04-11T08:28:59.000Z,28.19,32.18,BuildingB_Floor1,TypeC
1025,2025-04-07T09:09:18.000Z,18.85,38.48,BuildingA_Floor1,TypeC
1028,2025-04-07T23:16:22.000Z,18.44,38.02,BuildingA_Floor2,TypeB
1000,2025-04-08T09:37:30.000Z,25.42,36.91,BuildingA_Floor1,TypeA
1063,2025-04-11T10:27:32.000Z,15.06,71.36,BuildingB_Floor1,TypeB
1004,2025-04-11T10:40:01.000Z,20.42,70.07,BuildingA_Floor2,TypeC
1001,2025-04-11T05:08:48.000Z,17.01,35.82,BuildingB_Floor2,TypeB
1083,2025-04-09T14:58:49.000Z,32.75,78.55,BuildingB_Floor2,TypeA
1058,2025-04-11T06:12:46.000Z,18.98,76.91,BuildingB_Floor2,TypeC
1022,2025-04-09T09:29:15.000Z,20.85,30.56,BuildingA_Floor2,TypeC
1046,2025-04-11T22:01:43.000Z,17.51,52.2,BuildingA_Floor2,TypeB
1060,2025-04-11T11:09:20.000Z,17.54,35.89,BuildingA_Floor1,TypeA
1011,2025-04-08T00:28:07.000Z,17.53,65.97,BuildingB_Floor1,TypeA
1076,2025-04-09T20:33:44.000Z,17.34,56.01,BuildingA_Floor1,TypeB
1063,2025-04-09T12:19:51.000Z,26.32,48.59,BuildingB_Floor2,TypeB
1069,2025-04-07T08:55:33.000Z,34.63,36.79,BuildingB_Floor1,TypeB
1068,2025-04-07T10:21:27.000Z,32.45,50.09,BuildingA_Floor2,TypeB
1039,2025-04-10T23:04:36.000Z,19.61,74.89,BuildingA_Floor2,TypeB
1077,2025-04-10T16:04:46.000Z,26.0,40.42,BuildingB_Floor1,TypeA
1085,2025-04-09T05:43:57.000Z,29.45,57.06,BuildingB_Floor2,TypeC
1036,2025-04-11T09:31:06.000Z,33.2,48.1,BuildingB_Floor2,TypeB
1049,2025-04-08T06:37:21.000Z,34.83,75.99,BuildingB_Floor1,TypeB
1036,2025-04-07T05:03:36.000Z,32.98,73.25,BuildingA_Floor1,TypeB
1023,2025-04-10T19:43:08.000Z,26.73,74.69,BuildingB_Floor1,TypeB
1027,2025-04-07T12:59:05.000Z,23.16,62.46,BuildingA_Floor1,TypeB
1056,2025-04-09T22:23:06.000Z,25.64,61.2,BuildingA_Floor2,TypeB
1099,2025-04-08T05:36:37.000Z,15.28,35.74,BuildingB_Floor2,TypeA
1023,2025-04-08T16:52:32.000Z,20.66,59.5,BuildingB_Floor2,TypeB
1100,2025-04-07T12:11:28.000Z,16.91,41.58,BuildingB_Floor2,TypeB
1088,2025-04-09T18:21:59.000Z,24.9,60.42,BuildingB_Floor2,TypeB
1063,2025-04-10T08:40:59.000Z,25.86,73.69,BuildingB_Floor2,TypeB
1049,2025-04-11T01:06:18.000Z,21.6,39.42,BuildingA_Floor2,TypeB
1079,2025-04-07T23:08:46.000Z,17.05,47.18,BuildingA_Floor2,TypeA
1099,2025-04-07T21:22:29.000Z,21.65,74.9,BuildingA_Floor2,TypeA
1007,2025-04-07T02:04:37.000Z,17.07,37.12,BuildingB_Floor1,TypeC
1041,2025-04-09T04:53:15.000Z,26.2,70.14,BuildingB_Floor1,TypeA
1002,2025-04-09T04:36:27.000Z,16.64,58.86,BuildingA_Floor2,TypeC
1049,2025-04-09T04:41:46.000Z,22.84,78.34,BuildingB_Floor1,TypeA
1012,2025-04-07T22:46:42.000Z,23.64,57.07,BuildingB_Floor2,TypeB
1032,2025-04-10T22:08:34.000Z,17.32,72.08,BuildingA_Floor2,TypeB
1010,2025-04-09T16:50:54.000Z,33.36,53.24,BuildingB_Floor1,TypeA
1026,2025-04-07T15:40:48.000Z,32.42,76.75,BuildingA_Floor1,TypeA
1025,2025-04-10T16:52:32.000Z,16.73,46.5,BuildingA_Floor1,TypeC
1013,2025-04-11T07:51:58.000Z,26.47,78.84,BuildingA_Floor2,TypeA
1068,2025-04-07T20:48:33.000Z,21.61,65.53,BuildingA_Floor1,TypeC
1075,2025-04-11T14:59:23.000Z,34.61,70.24,BuildingA_Floor1,TypeC
1010,2025-04-08T19:43:27.000Z,24.76,63.41,BuildingB_Floor1,TypeC
1067,2025-04-10T20:43:04.000Z,23.96,65.78,BuildingA_Floor1,TypeA
1065,2025-04-07T15:55:14.000Z,30.96,31.56,BuildingB_Floor2,TypeB
1067,2025-04-08T20:51:33.000Z,32.03,34.8,BuildingA_Floor1,TypeB
1042,2025-04-09T05:11:05.000Z,24.86,74.81,BuildingB_Floor1,TypeB
1064,2025-04-07T09:13:41.000Z,17.8,62.82,BuildingB_Floor1,TypeA
1025,2025-04-09T06:40:11.000Z,27.43,76.22,BuildingB_Floor1,TypeB
1084,2025-04-08T06:50:24.000Z,18.14,45.2,BuildingB_Floor2,TypeB
1044,2025-04-11T18:28:46.000Z,33.54,35.78,BuildingA_Floor1,TypeB
1087,2025-04-11T00:37:14.000Z,25.99,68.57,BuildingA_Floor2,TypeC
1017,2025-04-09T03:46:12.000Z,26.31,60.43,BuildingB_Floor1,TypeA
1005,2025-04-11T16:13:55.000Z,16.01,56.18,BuildingA_Floor2,TypeA
1019,2025-04-09T08:06:29.000Z,16.18,61.76,BuildingB_Floor1,TypeA
1093,2025-04-10T17:03:00.000Z,18.68,71.32,BuildingB_Floor1,TypeA
1086,2025-04-08T07:48:09.000Z,18.35,66.77,BuildingB_Floor1,TypeC
1088,2025-04-07T10:13:10.000Z,28.31,37.72,BuildingB_Floor2,TypeC
1022,2025-04-07T02:01:45.000Z,25.13,70.01,BuildingB_Floor2,TypeC
1007,2025-04-11T20:43:02.000Z,15.09,74.54,BuildingA_Floor2,TypeC
1091,2025-04-11T04:08:13.000Z,18.32,59.73,BuildingB_Floor1,TypeA
1039,2025-04-08T00:41:10.000Z,28.34,63.06,BuildingA_Floor2,TypeC
1011,2025-04-10T01:31:51.000Z,26.74,52.69,BuildingA_Floor1,TypeC
1093,2025-04-10T11:33:31.000Z,27.31,67.79,BuildingB_Floor1,TypeC
1016,2025-04-08T17:13:17.000Z,28.19,71.11,BuildingB_Floor2,TypeB
1018,2025-04-10T21:29:45.000Z,27.42,44.56,BuildingA_Floor1,TypeC
1062,2025-04-10T22:04:52.000Z,22.14,32.97,BuildingB_Floor1,TypeC
1091,2025-04-08T17:54:32.000Z,33.46,44.04,BuildingB_Floor1,TypeA
1092,2025-04-10T07:30:14.000Z,15.38,47.91,BuildingB_Floor1,TypeC
1058,2025-04-09T08:22:49.000Z,17.21,59.48,BuildingA_Floor2,TypeB
1073,2025-04-12T01:11:25.000Z,34.25,45.68,BuildingA_Floor2,TypeC
1002,2025-04-11T13:15:28.000Z,19.32,41.8,BuildingA_Floor2,TypeB
1000,2025-04-09T10:16:35.000Z,27.83,52.11,BuildingB_Floor2,TypeB
1096,2025-04-11T19:02:13.000Z,24.87,71.35,BuildingB_Floor2,TypeC
1058,2025-04-08T21:26:01.000Z,16.35,64.07,BuildingB_Floor1,TypeA
1077,2025-04-09T09:30:13.000Z,17.51,74.34,BuildingB_Floor2,TypeC
1022,2025-04-07T12:31:25.000Z,15.08,74.35,BuildingA_Floor1,TypeC
1098,2025-04-11T21:16:56.000Z,27.19,31.39,BuildingB_Floor2,TypeA
1092,2025-04-11T04:37:45.000Z,16.27,55.35,BuildingB_Floor1,TypeB
1066,2025-04-11T13:39:25.000Z,24.86,71.9,BuildingA_Floor2,TypeA
1034,2025-04-11T18:40:47.000Z,18.57,51.44,BuildingB_Floor2,TypeB
1008,2025-04-10T04:51:12.000Z,34.27,71.31,BuildingB_Floor1,TypeB
1017,2025-04-11T06:42:13.000Z,17.56,69.47,BuildingB_Floor1,TypeC
1019,2025-04-10T17:14:07.000Z,21.32,31.83,BuildingB_Floor1,TypeA
1019,2025-04-11T06:48:34.000Z,23.35,39.74,BuildingA_Floor2,TypeC
1064,2025-04-11T12:21:46.000Z,31.14,66.33,BuildingA_Floor2,TypeA
1031,2025-04-11T17:52:06.000Z,24.24,33.19,BuildingB_Floor2,TypeA
1054,2025-04-09T05:53:55.000Z,23.8,62.86,BuildingB_Floor2,TypeC
1092,2025-04-09T16:26:13.000Z,31.51,51.55,BuildingB_Floor1,TypeC
1008,2025-04-08T06:04:10.000Z,26.62,30.82,BuildingB_Floor2,TypeC
1043,2025-04-11T05:30:28.000Z,18.57,71.52,BuildingA_Floor1,TypeA
1005,2025-04-10T09:27:01.000Z,15.2,66.42,BuildingA_Floor1,TypeA
1046,2025-04-11T08:45:08.000Z,33.3,37.95,BuildingB_Floor2,TypeA
1039,2025-04-07T15:09:36.000Z,15.12,54.41,BuildingA_Floor1,TypeA
1088,2025-04-11T13:53:24.000Z,33.41,47.87,BuildingA_Floor1,TypeB
1095,2025-04-10T08:26:53.000Z,22.52,42.22,BuildingB_Floor1,TypeC
1048,2025-04-11T16:56:56.000Z,32.59,62.54,BuildingA_Floor1,TypeB
1090,2025-04-10T21:05:06.000Z,21.9,62.21,BuildingB_Floor1,TypeB
1014,2025-04-10T23:43:04.000Z,27.18,31.27,BuildingA_Floor2,TypeB
1054,2025-04-08T08:43:09.000Z,34.43,34.76,BuildingA_Floor2,TypeA
1043,2025-04-11T14:09:05.000Z,23.11,40.81,BuildingB_Floor1,TypeC
1043,2025-04-07T10:34:13.000Z,17.41,33.15,BuildingB_Floor2,TypeC
1033,2025-04-10T15:33:12.000Z,31.75,35.91,BuildingA_Floor2,TypeA
1009,2025-04-10T23:40:49.000Z,31.92,44.1,BuildingA_Floor2,TypeA
1078,2025-04-08T23:37:18.000Z,34.57,64.98,BuildingB_Floor1,TypeC
1051,2025-04-07T17:48:09.000Z,29.3,52.38,BuildingA_Floor2,TypeA
1087,2025-04-07T08:26:10.000Z,26.62,49.24,BuildingA_Floor1,TypeA
1095,2025-04-11T18:52:02.000Z,24.31,66.95,BuildingA_Floor2,TypeC
1086,2025-04-08T10:53:11.000Z,29.55,59.26,BuildingB_Floor1,TypeB
1023,2025-04-10T23:16:18.000Z,22.44,35.63,BuildingA_Floor1,TypeB
1082,2025-04-07T19:38:53.000Z,15.94,72.77,BuildingA_Floor2,TypeC
1086,2025-04-09T04:04:01.000Z,29.41,49.44,BuildingB_Floor1,TypeC
1062,2025-04-08T22:27:18.000Z,27.93,58.67,BuildingB_Floor2,TypeA
1064,2025-04-10T06:18:33.000Z,15.83,60.35,BuildingB_Floor1,TypeA
1013,2025-04-07T22:55:13.000Z,18.67,71.79,BuildingA_Floor1,TypeB
1061,2025-04-10T18:10:03.000Z,20.08,66.43,BuildingA_Floor2,TypeC
1075,2025-04-11T06:08:17.000Z,23.85,44.3,BuildingA_Floor2,TypeA
1053,2025-04-10T07:32:48.000Z,29.8,64.78,BuildingA_Floor1,TypeA
1092,2025-04-08T12:38:08.000Z,17.51,51.94,BuildingA_Floor2,TypeB
1069,2025-04-11T08:20:23.000Z,30.88,75.35,BuildingA_Floor2,TypeC
1033,2025-04-07T21:55:57.000Z,15.77,79.78,BuildingA_Floor1,TypeA
1063,2025-04-11T14:10:14.000Z,18.18,78.5,BuildingA_Floor2,TypeC
1063,2025-04-11T18:12:14.000Z,28.52,61.04,BuildingA_Floor2,TypeC
1014,2025-04-07T18:06:31.000Z,33.22,55.38,BuildingB_Floor1,TypeC
1083,2025-04-07T13:14:10.000Z,22.27,56.87,BuildingA_Floor2,TypeA
1093,2025-04-08T00:34:05.000Z,15.88,64.35,BuildingB_Floor1,TypeC
1055,2025-04-07T10:03:02.000Z,22.56,67.57,BuildingB_Floor2,TypeB
1022,2025-04-10T03:24:35.000Z,30.8,62.84,BuildingB_Floor2,TypeC
1099,2025-04-08T18:28:01.000Z,15.57,58.77,BuildingA_Floor2,TypeA
1054,2025-04-11T12:03:21.000Z,22.67,39.54,BuildingB_Floor1,TypeC
1100,2025-04-10T23:51:23.000Z,29.2,58.95,BuildingA_Floor2,TypeA
1098,2025-04-11T22:46:10.000Z,25.32,52.31,BuildingA_Floor1,TypeC
1029,2025-04-11T07:10:59.000Z,26.06,52.93,BuildingB_Floor2,TypeB
1034,2025-04-08T06:14:27.000Z,32.45,30.71,BuildingA_Floor2,TypeC
1062,2025-04-11T17:59:37.000Z,17.24,60.23,BuildingB_Floor1,TypeC
1067,2025-04-09T03:38:17.000Z,33.26,52.89,BuildingB_Floor1,TypeA
1085,2025-04-11T12:55:10.000Z,33.4,62.29,BuildingB_Floor2,TypeA
1089,2025-04-07T18:52:11.000Z,19.11,53.56,BuildingB_Floor2,TypeB
1038,2025-04-08T09:43:10.000Z,18.05,77.47,BuildingB_Floor1,TypeA
1053,2025-04-10T17:33:32.000Z,34.4,31.54,BuildingB_Floor2,TypeC
1098,2025-04-09T11:40:46.000Z,16.33,53.92,BuildingB_Floor1,TypeA
1045,2025-04-12T00:38:18.000Z,33.6,32.98,BuildingA_Floor2,TypeA
1050,2025-04-12T01:45:40.000Z,28.13,48.35,BuildingA_Floor1,TypeC
1093,2025-04-07T05:16:02.000Z,31.22,30.88,BuildingA_Floor2,TypeC
1082,2025-04-12T00:06:39.000Z,20.86,54.56,BuildingA_Floor2,TypeA
1016,2025-04-10T22:23:48.000Z,28.63,60.79,BuildingA_Floor1,TypeB
1004,2025-04-09T23:03:02.000Z,23.16,73.95,BuildingB_Floor1,TypeA
1030,2025-04-11T05:22:58.000Z,33.42,51.04,BuildingA_Floor2,TypeC
1000,2025-04-10T00:18:03.000Z,16.79,65.35,BuildingB_Floor2,TypeA
1021,2025-04-07T11:10:45.000Z,33.92,58.04,BuildingB_Floor1,TypeA
1038,2025-04-11T07:37:05.000Z,23.81,51.03,BuildingB_Floor2,TypeC
1031,2025-04-09T15:03:57.000Z,32.25,53.78,BuildingA_Floor1,TypeC
1098,2025-04-10T06:13:31.000Z,17.09,39.02,BuildingB_Floor2,TypeA
1032,2025-04-07T20:59:14.000Z,20.11,48.6,BuildingB_Floor2,TypeB
1035,2025-04-09T12:52:41.000Z,23.5,73.26,BuildingB_Floor2,TypeC
1017,2025-04-09T19:05:50.000Z,16.06,35.67,BuildingB_Floor1,TypeA
1067,2025-04-08T11:50:51.000Z,30.21,61.97,BuildingB_Floor2,TypeB
1070,2025-04-09T10:46:04.000Z,34.37,44.98,BuildingA_Floor2,TypeA
1020,2025-04-08T03:31:03.000Z,31.08,58.26,BuildingB_Floor2,TypeA
1010,2025-04-07T08:57:25.000Z,29.58,66.82,BuildingA_Floor1,TypeB
