sensor_id,timestamp,temperature,humidity,location,sensor_type
1015,2025-04-07T16:28:16.000Z,18.5,61.31,BuildingA_Floor2,TypeA
1043,2025-04-09T19:35:19.000Z,17.33,53.0,BuildingB_Floor1,TypeC
1042,2025-04-08T19:56:01.000Z,34.01,73.75,BuildingA_Floor2,TypeB
1042,2025-04-11T07:16:59.000Z,31.39,37.03,BuildingA_Floor2,TypeA
1061,2025-04-09T15:19:19.000Z,16.96,47.2,BuildingA_Floor2,TypeC
1068,2025-04-09T17:45:19.000Z,16.68,45.64,BuildingA_Floor1,TypeC
1000,2025-04-09T14:30:58.000Z,27.05,59.09,BuildingA_Floor1,TypeB
1091,2025-04-09T12:57:07.000Z,24.32,49.5,BuildingA_Floor2,TypeC
1060,2025-04-10T00:39:41.000Z,28.23,38.51,BuildingB_Floor2,TypeC
1067,2025-04-09T20:42:28.000Z,33.75,49.45,BuildingA_Floor2,TypeB
1046,2025-04-10T20:11:47.000Z,21.08,74.93,BuildingB_Floor2,TypeA
1066,2025-04-10T15:44:32.000Z,15.71,33.28,BuildingB_Floor2,TypeA
1045,2025-04-09T07:19:35.000Z,30.26,56.56,BuildingA_Floor1,TypeA
1098,2025-04-07T15:54:00.000Z,28.39,31.38,BuildingA_Floor1,TypeB
1068,2025-04-10T23:35:24.000Z,31.12,53.99,BuildingA_Floor2,TypeA
1019,2025-04-09T11:28:21.000Z,33.65,65.71,BuildingB_Floor1,TypeA
1097,2025-04-07T02:37:32.000Z,24.24,41.78,BuildingA_Floor1,TypeC
1087,2025-04-09T09:46:04.000Z,28.37,30.24,BuildingB_Floor2,TypeC
1078,2025-04-08T17:57:03.000Z,33.46,32.21,BuildingB_Floor1,TypeA
1000,2025-04-11T09:10:06.000Z,30.06,37.03,BuildingA_Floor2,TypeA
1095,2025-04-09T11:01:14.000Z,28.35,70.79,BuildingB_Floor2,TypeB
1064,2025-04-11T09:57:21.000Z,18.74,44.9,BuildingB_Floor1,TypeB
1016,2025-04-11T04:41:58.000Z,29.11,44.47,BuildingA_Floor2,TypeC
1062,2025-04-08T12:05:35.000Z,15.2,61.02,BuildingB_Floor1,TypeC
1046,2025-04-11T09:21:53.000Z,19.23,60.4,BuildingB_Floor2,TypeB
1004,2025-04-07T13:19:38.000Z,33.0,30.85,BuildingB_Floor2,TypeC
1068,2025-04-10T17:01:30.000Z,31.51,62.59,BuildingA_Floor2,TypeC
1020,2025-04-07T02:02:13.000Z,30.33,50.52,BuildingB_Floor1,TypeA
1080,2025-04-07T12:42:59.000Z,34.31,74.32,BuildingA_Floor2,TypeC
1063,2025-04-09T22:33:52.000Z,17.98,64.32,BuildingA_Floor2,TypeA
1081,2025-04-08T22:14:05.000Z,25.96,36.15,BuildingB_Floor2,TypeA
1058,2025-04-12T00:54:21.000Z,26.6,36.41,BuildingB_Floor2,TypeC
1042,2025-04-11T03:36:39.000Z,33.77,41.94,BuildingB_Floor2,TypeC
1070,2025-04-09T12:25:18.000Z,23.03,76.32,BuildingB_Floor2,TypeA
1050,2025-04-11T06:26:31.000Z,34.39,66.31,BuildingA_Floor2,TypeB
1098,2025-04-07T20:24:51.000Z,24.11,70.44,BuildingB_Floor1,TypeC
1012,2025-04-10T11:14:49.000Z,25.12,50.07,BuildingB_Floor2,TypeB
1008,2025-04-08T17:48:56.000Z,33.33,45.83,BuildingA_Floor1,TypeA
1026,2025-04-08T09:57:13.000Z,24.45,32.08,BuildingA_Floor1,TypeA
1048,2025-04-07T11:02:45.000Z,24.66,68.73,BuildingA_Floor1,TypeA
1004,2025-04-10T20:11:52.000Z,34.82,73.57,BuildingA_Floor1,TypeB
1055,2025-04-08T10:31:38.000Z,23.63,69.05,BuildingB_Floor2,TypeB
1064,2025-04-07T22:48:49.000Z,30.03,71.14,BuildingA_Floor1,TypeB
1079,2025-04-09T03:49:55.000Z,23.76,79.62,BuildingA_Floor1,TypeC
1066,2025-04-11T11:50:30.000Z,25.75,65.8,BuildingB_Floor1,TypeC
1089,2025-04-09T13:44:28.000Z,26.98,33.64,BuildingA_Floor2,TypeA
1032,2025-04-07T21:06:32.000Z,22.99,55.63,BuildingA_Floor2,TypeB
1048,2025-04-11T08:06:32.000Z,20.3,52.9,BuildingB_Floor1,TypeA
1023,2025-04-09T18:30:51.000Z,25.85,67.76,BuildingB_Floor2,TypeA
1044,2025-04-08T17:37:14.000Z,32.36,66.86,BuildingB_Floor2,TypeB
1042,2025-04-08T11:40:59.000Z,29.38,30.62,BuildingA_Floor1,TypeA
1080,2025-04-08T17:33:14.000Z,28.03,50.37,BuildingA_Floor1,TypeB
1055,2025-04-08T16:46:26.000Z,33.5,64.77,BuildingB_Floor2,TypeA
1096,2025-04-09T23:33:46.000Z,16.27,74.45,BuildingA_Floor2,TypeB
1096,2025-04-07T09:59:02.000Z,16.09,44.34,BuildingA_Floor1,TypeB
1051,2025-04-09T10:01:45.000Z,30.13,39.15,BuildingA_Floor1,TypeB
1048,2025-04-07T20:44:08.000Z,31.54,50.08,BuildingB_Floor2,TypeA
1094,2025-04-07T03:22:20.000Z,19.6,71.58,BuildingB_Floor1,TypeB
1031,2025-04-08T05:10:55.000Z,34.28,52.31,BuildingB_Floor1,TypeC
1065,2025-04-11T08:58:54.000Z,22.13,40.58,BuildingB_Floor1,TypeA
1012,2025-04-10T06:04:30.000Z,15.15,50.95,BuildingA_Floor1,TypeA
1052,2025-04-09T07:28:44.000Z,19.19,32.97,BuildingA_Floor1,TypeC
1088,2025-04-07T12:48:17.000Z,29.33,76.87,BuildingA_Floor1,TypeB
1075,2025-04-08T16:57:32.000Z,25.15,44.16,BuildingA_Floor1,TypeB
1039,2025-04-09T00:17:03.000Z,26.67,41.84,BuildingA_Floor1,TypeA
1052,2025-04-08T10:20:05.000Z,32.1,45.14,BuildingA_Floor1,TypeC
1032,2025-04-08T01:38:16.000Z,23.74,56.55,BuildingB_Floor2,TypeA
1088,2025-04-08T14:27:11.000Z,16.11,51.32,BuildingA_Floor2,TypeB
1022,2025-04-11T05:16:40.000Z,20.07,71.81,BuildingB_Floor2,TypeC
1070,2025-04-08T03:46:15.000Z,32.76,60.22,BuildingA_Floor1,TypeA
1040,2025-04-08T05:21:07.000Z,32.22,64.65,BuildingB_Floor1,TypeA
1068,2025-04-08T17:39:07.000Z,25.45,44.76,BuildingB_Floor2,TypeC
1056,2025-04-09T18:32:16.000Z,18.36,68.27,BuildingA_Floor1,TypeB
1098,2025-04-11T07:11:12.000Z,22.52,47.93,BuildingA_Floor2,TypeB
1054,2025-04-09T10:19:14.000Z,33.64,71.56,BuildingB_Floor1,TypeB
1023,2025-04-07T12:01:58.000Z,33.92,50.17,BuildingB_Floor2,TypeB
1005,2025-04-08T06:25:24.000Z,21.95,33.81,BuildingA_Floor1,TypeA
1036,2025-04-08T21:01:14.000Z,28.77,65.37,BuildingB_Floor2,TypeA
1054,2025-04-10T22:11:11.000Z,28.44,61.36,BuildingA_Floor2,TypeA
1047,2025-04-10T21:31:53.000Z,15.7,71.86,BuildingA_Floor1,TypeA
1098,2025-04-11T02:59:49.000Z,27.53,64.3,BuildingB_Floor2,TypeA
